Axis1,Axis2,Axis3,hand,session,datetime,id
115,87,84,dx,dom,2017-05-23 19:46:31,TD1
86,114,74,dx,dom,2017-05-23 19:46:32,TD1
120,113,79,dx,dom,2017-05-23 19:46:33,TD1
70,165,65,dx,dom,2017-05-23 19:46:34,TD1
100,152,74,dx,dom,2017-05-23 19:46:35,TD1
146,154,86,dx,dom,2017-05-23 19:46:36,TD1
206,165,223,dx,dom,2017-05-23 19:46:37,TD1
144,61,63,dx,dom,2017-05-23 19:46:38,TD1
133,51,84,dx,dom,2017-05-23 19:46:39,TD1
100,81,98,dx,dom,2017-05-23 19:46:40,TD1
190,153,111,dx,dom,2017-05-23 19:46:41,TD1
30,116,56,dx,dom,2017-05-23 19:46:42,TD1
130,71,87,dx,dom,2017-05-23 19:46:43,TD1
94,135,80,dx,dom,2017-05-23 19:46:44,TD1
172,44,58,dx,dom,2017-05-23 19:46:45,TD1
108,104,80,dx,dom,2017-05-23 19:46:46,TD1
163,116,103,dx,dom,2017-05-23 19:46:47,TD1
132,100,72,dx,dom,2017-05-23 19:46:48,TD1
106,160,40,dx,dom,2017-05-23 19:46:49,TD1
120,67,78,dx,dom,2017-05-23 19:46:50,TD1
62,125,22,dx,dom,2017-05-23 19:46:51,TD1
75,154,53,dx,dom,2017-05-23 19:46:52,TD1
88,70,60,dx,dom,2017-05-23 19:46:53,TD1
124,97,82,dx,dom,2017-05-23 19:46:54,TD1
91,80,79,dx,dom,2017-05-23 19:46:55,TD1
109,64,97,dx,dom,2017-05-23 19:46:56,TD1
117,107,74,dx,dom,2017-05-23 19:46:57,TD1
121,93,75,dx,dom,2017-05-23 19:46:58,TD1
92,85,62,dx,dom,2017-05-23 19:46:59,TD1
104,94,73,dx,dom,2017-05-23 19:47:00,TD1
86,86,72,dx,dom,2017-05-23 19:47:01,TD1
123,123,48,dx,dom,2017-05-23 19:47:02,TD1
94,124,77,dx,dom,2017-05-23 19:47:03,TD1
175,77,86,dx,dom,2017-05-23 19:47:04,TD1
103,44,102,dx,dom,2017-05-23 19:47:05,TD1
33,43,33,dx,dom,2017-05-23 19:47:06,TD1
167,97,117,dx,dom,2017-05-23 19:47:07,TD1
161,51,95,dx,dom,2017-05-23 19:47:08,TD1
86,56,15,dx,dom,2017-05-23 19:47:09,TD1
25,11,15,dx,dom,2017-05-23 19:47:10,TD1
47,66,135,sx,ndom,2017-05-23 19:49:00,TD1
295,124,146,sx,ndom,2017-05-23 19:49:01,TD1
166,89,87,sx,ndom,2017-05-23 19:49:02,TD1
117,73,100,sx,ndom,2017-05-23 19:49:03,TD1
122,58,95,sx,ndom,2017-05-23 19:49:04,TD1
132,131,77,sx,ndom,2017-05-23 19:49:05,TD1
47,58,42,sx,ndom,2017-05-23 19:49:06,TD1
107,117,72,sx,ndom,2017-05-23 19:49:07,TD1
78,103,65,sx,ndom,2017-05-23 19:49:08,TD1
118,140,48,sx,ndom,2017-05-23 19:49:09,TD1
90,132,50,sx,ndom,2017-05-23 19:49:10,TD1
87,98,68,sx,ndom,2017-05-23 19:49:11,TD1
54,73,57,sx,ndom,2017-05-23 19:49:12,TD1
144,111,91,sx,ndom,2017-05-23 19:49:13,TD1
212,115,110,sx,ndom,2017-05-23 19:49:14,TD1
142,91,17,sx,ndom,2017-05-23 19:49:15,TD1
113,97,31,sx,ndom,2017-05-23 19:49:16,TD1
131,77,43,sx,ndom,2017-05-23 19:49:17,TD1
114,67,88,sx,ndom,2017-05-23 19:49:18,TD1
136,103,74,sx,ndom,2017-05-23 19:49:19,TD1
120,68,88,sx,ndom,2017-05-23 19:49:20,TD1
110,88,30,sx,ndom,2017-05-23 19:49:21,TD1
114,105,78,sx,ndom,2017-05-23 19:49:22,TD1
89,42,43,sx,ndom,2017-05-23 19:49:23,TD1
105,75,51,sx,ndom,2017-05-23 19:49:24,TD1
125,99,69,sx,ndom,2017-05-23 19:49:25,TD1
79,120,60,sx,ndom,2017-05-23 19:49:26,TD1
102,197,49,sx,ndom,2017-05-23 19:49:27,TD1
98,161,109,sx,ndom,2017-05-23 19:49:28,TD1
74,177,100,sx,ndom,2017-05-23 19:49:29,TD1
109,173,100,sx,ndom,2017-05-23 19:49:30,TD1
121,179,52,sx,ndom,2017-05-23 19:49:31,TD1
75,73,20,sx,ndom,2017-05-23 19:49:32,TD1
163,110,74,sx,ndom,2017-05-23 19:49:33,TD1
211,113,87,sx,ndom,2017-05-23 19:49:34,TD1
103,127,84,sx,ndom,2017-05-23 19:49:35,TD1
93,86,11,sx,ndom,2017-05-23 19:49:36,TD1
114,80,25,sx,ndom,2017-05-23 19:49:37,TD1
29,62,7,sx,ndom,2017-05-23 19:49:38,TD1
91,68,14,sx,ndom,2017-05-23 19:49:39,TD1
124,79,41,sx,ndom,2017-05-23 19:49:40,TD1
113,235,44,sx,ndom,2017-05-23 19:49:41,TD1
64,223,37,sx,ndom,2017-05-23 19:49:42,TD1
131,139,27,sx,ndom,2017-05-23 19:49:43,TD1
168,109,35,sx,ndom,2017-05-23 19:49:44,TD1
143,145,46,sx,ndom,2017-05-23 19:49:45,TD1
127,90,42,sx,ndom,2017-05-23 19:49:46,TD1
161,144,66,sx,ndom,2017-05-23 19:49:47,TD1
61,98,54,sx,ndom,2017-05-23 19:49:48,TD1
58,57,12,sx,ndom,2017-05-23 19:49:49,TD1
134,163,85,sx,ndom,2017-05-23 19:49:50,TD1
125,130,92,sx,ndom,2017-05-23 19:49:51,TD1
90,144,42,sx,ndom,2017-05-23 19:49:52,TD1
29,55,29,sx,ndom,2017-05-23 19:49:53,TD1
78,84,20,sx,ndom,2017-05-23 19:49:54,TD1
127,220,47,sx,ndom,2017-05-23 19:49:55,TD1
76,119,48,sx,ndom,2017-05-23 19:49:56,TD1
120,138,62,sx,ndom,2017-05-23 19:49:57,TD1
129,170,60,sx,ndom,2017-05-23 19:49:58,TD1
117,114,76,sx,ndom,2017-05-23 19:49:59,TD1
99,94,38,sx,ndom,2017-05-23 19:50:00,TD1
0,11,0,dx,ndom,2017-05-23 19:49:00,TD1
0,5,2,dx,ndom,2017-05-23 19:49:01,TD1
0,0,0,dx,ndom,2017-05-23 19:49:02,TD1
0,8,9,dx,ndom,2017-05-23 19:49:03,TD1
0,0,2,dx,ndom,2017-05-23 19:49:04,TD1
0,0,0,dx,ndom,2017-05-23 19:49:05,TD1
0,0,9,dx,ndom,2017-05-23 19:49:06,TD1
0,0,0,dx,ndom,2017-05-23 19:49:07,TD1
0,0,0,dx,ndom,2017-05-23 19:49:08,TD1
0,0,0,dx,ndom,2017-05-23 19:49:09,TD1
0,0,0,dx,ndom,2017-05-23 19:49:10,TD1
0,0,0,dx,ndom,2017-05-23 19:49:11,TD1
0,0,3,dx,ndom,2017-05-23 19:49:12,TD1
0,0,0,dx,ndom,2017-05-23 19:49:13,TD1
0,0,0,dx,ndom,2017-05-23 19:49:14,TD1
0,0,0,dx,ndom,2017-05-23 19:49:15,TD1
0,0,0,dx,ndom,2017-05-23 19:49:16,TD1
0,0,0,dx,ndom,2017-05-23 19:49:17,TD1
0,0,0,dx,ndom,2017-05-23 19:49:18,TD1
0,0,0,dx,ndom,2017-05-23 19:49:19,TD1
0,0,0,dx,ndom,2017-05-23 19:49:20,TD1
0,0,0,dx,ndom,2017-05-23 19:49:21,TD1
0,0,0,dx,ndom,2017-05-23 19:49:22,TD1
0,0,0,dx,ndom,2017-05-23 19:49:23,TD1
0,0,0,dx,ndom,2017-05-23 19:49:24,TD1
0,0,0,dx,ndom,2017-05-23 19:49:25,TD1
0,0,0,dx,ndom,2017-05-23 19:49:26,TD1
0,0,0,dx,ndom,2017-05-23 19:49:27,TD1
0,0,0,dx,ndom,2017-05-23 19:49:28,TD1
0,0,0,dx,ndom,2017-05-23 19:49:29,TD1
0,0,0,dx,ndom,2017-05-23 19:49:30,TD1
